Restaurant,star_rating,no_reviews,cuisine,url
Goki Sushi Experience San Paolo,5.0,496,"Chinese, Japanese",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d24965793-Reviews-Goki_Sushi_Experience_San_Paolo-Rome_Lazio.html
VII Coorte,4.5,"2,478","Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d5858490-Reviews-VII_Coorte-Rome_Lazio.html
Mercato Hostaria,4.5,"1,814","Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d2054369-Reviews-Mercato_Hostaria-Rome_Lazio.html
Ninkasi,5.0,825,"Italian, Steakhouse",https://www.tripadvisor.com.my/Restaurant_Review-g21118196-d9788312-Reviews-Ninkasi-Vermicino_Frascati_Province_of_Rome_Lazio.html
Scorpacciata Romana,5.0,556,"Pizza, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d19543728-Reviews-Scorpacciata_Romana-Rome_Lazio.html
Il Tagliere Toscano Navona,4.5,"1,447","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d12419022-Reviews-Il_Tagliere_Toscano_Navona-Rome_Lazio.html
Pipero Roma,4.5,897,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d12562602-Reviews-Pipero_Roma-Rome_Lazio.html
Mi'Ndujo - Ponte Milvio,5.0,612,"Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d21356933-Reviews-Mi_Ndujo_Ponte_Milvio-Rome_Lazio.html
Ristorante Dogma,5.0,143,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23938252-Reviews-Ristorante_Dogma-Rome_Lazio.html
Angelo Ristorante Trattoria - Bar,5.0,225,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d21226764-Reviews-Angelo_Ristorante_Trattoria_Bar-Rome_Lazio.html
Pizza Florida,4.5,"1,394","Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1863797-Reviews-Pizza_Florida-Rome_Lazio.html
Tanti Baci Restaurant,4.5,260,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d5850652-Reviews-Tanti_Baci_Restaurant-Rome_Lazio.html
Rosamunda's,5.0,374,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d13148446-Reviews-Rosamunda_s-Rome_Lazio.html
Tiberino,4.5,"1,647","Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d8605474-Reviews-Tiberino-Rome_Lazio.html
Pizzium - Roma Viale Newton,4.5,304,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d24798424-Reviews-Pizzium_Roma_Viale_Newton-Rome_Lazio.html
Dar Bello de Nonna Osteria Romana,4.5,449,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d12644711-Reviews-Dar_Bello_de_Nonna_Osteria_Romana-Rome_Lazio.html
'Gusto,3.5,"4,274","Italian, Northern-Italian",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d696421-Reviews-Gusto-Rome_Lazio.html
Tira e Molla,4.5,"5,446","Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d12473957-Reviews-Tira_e_Molla-Rome_Lazio.html
Passioni di Pasta all'Uovo,5.0,279,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d8417953-Reviews-Passioni_di_Pasta_all_Uovo-Rome_Lazio.html
Greco Romano,4.5,288,"Mediterranean, Greek",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d14177682-Reviews-Greco_Romano-Rome_Lazio.html
Su & Giu Cucina Romana,4.5,"3,715","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d2320420-Reviews-Su_Giu_Cucina_Romana-Rome_Lazio.html
Taverna Tintoretto,5.0,406,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d21494598-Reviews-Taverna_Tintoretto-Rome_Lazio.html
Vecchia Trastevere,4.5,"1,067","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d6549083-Reviews-Vecchia_Trastevere-Rome_Lazio.html
L'Osteria degli Avvocati,5.0,334,"Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d21359993-Reviews-L_Osteria_degli_Avvocati-Rome_Lazio.html
Cucineria Duca Re,5.0,363,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g799532-d12981278-Reviews-Cucineria_Duca_Re-Guidonia_Montecelio_Province_of_Rome_Lazio.html
Mama Eat Roma Trastevere,4.5,"4,088","Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d2358486-Reviews-Mama_Eat_Roma_Trastevere-Rome_Lazio.html
La Prezzemolina,4.5,683,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d10082007-Reviews-La_Prezzemolina-Rome_Lazio.html
Sottocasa Food,5.0,167,"Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d11831780-Reviews-Sottocasa_Food-Rome_Lazio.html
Ristorante Pizzeria Andrea,4.5,887,Italian,https://www.tripadvisor.com.my/Restaurant_Review-g187791-d6364117-Reviews-Ristorante_Pizzeria_Andrea-Rome_Lazio.html
Otello,4.5,"14,684","Italian, Romana",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d3666269-Reviews-Otello-Rome_Lazio.html
Chiancheria Gourmet Roma,4.5,977,"Italian, Steakhouse",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d16700611-Reviews-Chiancheria_Gourmet_Roma-Rome_Lazio.html
Ristorante Dai Miei,5.0,225,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23405968-Reviews-Ristorante_Dai_Miei-Rome_Lazio.html
Essenza Wine Bar,4.5,774,"Italian, Brew Pub",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d10200439-Reviews-Essenza_Wine_Bar-Rome_Lazio.html
Coming Out,4.5,"4,267","Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1163967-Reviews-Coming_Out-Rome_Lazio.html
