Restaurant,star_rating,no_reviews,cuisine,url
Tg's Nasi Kandar,4.5,"1,026","Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3470466-Reviews-Tg_s_Nasi_Kandar-Kuala_Lumpur_Wilayah_Persekutuan.html
THIRTY8,4.0,898,"International, Dining bars",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3501957-Reviews-THIRTY8-Kuala_Lumpur_Wilayah_Persekutuan.html
Gravybaby Jalan P Ramlee,4.5,364,"Fast food, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14930177-Reviews-Gravybaby_Jalan_P_Ramlee-Kuala_Lumpur_Wilayah_Persekutuan.html
Curate At Four Seasons Hotel Kuala Lumpur,4.5,280,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14827104-Reviews-Curate_At_Four_Seasons_Hotel_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
Eat X Dignity Cafe,4.5,131,"Cafe, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8477721-Reviews-Eat_X_Dignity_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
Antipodean Atria,4.5,264,"Cafe, International",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d12091351-Reviews-Antipodean_Atria-Petaling_Jaya_Petaling_District_Selangor.html
Fuego at Troika Sky Dining,4.5,800,"Latin, Central American",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6868763-Reviews-Fuego_at_Troika_Sky_Dining-Kuala_Lumpur_Wilayah_Persekutuan.html
Mosaic,4.5,734,"International, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3461900-Reviews-Mosaic-Kuala_Lumpur_Wilayah_Persekutuan.html
Burger & Sushi,5.0,93,"Japanese, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11434895-Reviews-Burger_Sushi-Kuala_Lumpur_Wilayah_Persekutuan.html
Samad Al Iraqi Restaurant,4.5,178,"International, Healthy",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d9458158-Reviews-Samad_Al_Iraqi_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
D Empire Pavilion,4.5,203,"Steakhouse, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11705741-Reviews-D_Empire_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html
Kin Thai Restaurant,4.5,258,"Seafood, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d16857245-Reviews-Kin_Thai_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
El Toro Loco KL,5.0,150,"Bar, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15610270-Reviews-El_Toro_Loco_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Sao Nam Vietnamese Cuisine,4.5,480,Vietnamese,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1020059-Reviews-Sao_Nam_Vietnamese_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
Lai Po Heen,4.5,521,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1065676-Reviews-Lai_Po_Heen-Kuala_Lumpur_Wilayah_Persekutuan.html
Din Tai Fung Pavilion KL,4.5,"1,537","Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3701826-Reviews-Din_Tai_Fung_Pavilion_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Pinchos Tapas Bar,4.5,591,"Bar, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2313061-Reviews-Pinchos_Tapas_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
WXYZ Bar,4.5,115,"Bar, Wine Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8686400-Reviews-WXYZ_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
Tamarind Hill Kuala Lumpur By Samadhi,4.5,612,"Asian, Thai",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d785559-Reviews-Tamarind_Hill_Kuala_Lumpur_By_Samadhi-Kuala_Lumpur_Wilayah_Persekutuan.html
Ciccio Bar Pizzeria,4.5,433,"Italian, Neapolitan",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1020630-Reviews-Ciccio_Bar_Pizzeria-Kuala_Lumpur_Wilayah_Persekutuan.html
Taps Beer Bar,4.5,501,"Bar, Pub",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2715384-Reviews-Taps_Beer_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
"Nam Heong Vintage, Pavilion Elite",4.5,877,"Cantonese, Malaysian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12334897-Reviews-Nam_Heong_Vintage_Pavilion_Elite-Kuala_Lumpur_Wilayah_Persekutuan.html
Qureshi Malaysia,4.5,198,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7247738-Reviews-Qureshi_Malaysia-Kuala_Lumpur_Wilayah_Persekutuan.html
Tosca,4.5,194,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2252678-Reviews-Tosca-Kuala_Lumpur_Wilayah_Persekutuan.html
myBurgerLab,4.5,410,American,https://www.tripadvisor.com.my/Restaurant_Review-g298313-d3536823-Reviews-MyBurgerLab-Petaling_Jaya_Petaling_District_Selangor.html
Betel Leaf,4.5,593,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2423743-Reviews-Betel_Leaf-Kuala_Lumpur_Wilayah_Persekutuan.html
Antipodean Bangsar,4.0,490,"Cafe, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d2265078-Reviews-Antipodean_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html
Sushi Hibiki,5.0,102,"Japanese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14784908-Reviews-Sushi_Hibiki-Kuala_Lumpur_Wilayah_Persekutuan.html
Sassorosso,4.5,281,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1125050-Reviews-Sassorosso-Kuala_Lumpur_Wilayah_Persekutuan.html
MTR 1924 Malaysia,4.5,273,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13195492-Reviews-MTR_1924_Malaysia-Kuala_Lumpur_Wilayah_Persekutuan.html
ATAS at The RuMa Hotel & Residences,4.5,85,Contemporary,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d19937789-Reviews-ATAS_at_The_RuMa_Hotel_Residences-Kuala_Lumpur_Wilayah_Persekutuan.html
Tamarind Springs By Samadhi,4.0,600,"Asian, Thai",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d785561-Reviews-Tamarind_Springs_By_Samadhi-Kuala_Lumpur_Wilayah_Persekutuan.html
IPPUDO Pavilion KL,4.0,364,"Japanese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4085358-Reviews-IPPUDO_Pavilion_KL-Kuala_Lumpur_Wilayah_Persekutuan.html
Bijan,4.0,"1,310","Asian, Malaysian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1020629-Reviews-Bijan-Kuala_Lumpur_Wilayah_Persekutuan.html
Marini's on 57,4.0,"1,430","Italian, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3244412-Reviews-Marini_s_on_57-Kuala_Lumpur_Wilayah_Persekutuan.html
Village Park Restaurant,4.0,"1,092","Asian, Malaysian",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d2014691-Reviews-Village_Park_Restaurant-Petaling_Jaya_Petaling_District_Selangor.html
Wan Chun Ting,5.0,63,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15813663-Reviews-Wan_Chun_Ting-Kuala_Lumpur_Wilayah_Persekutuan.html
Charcoal Restaurant,4.5,103,"Grill, Malaysian",https://www.tripadvisor.com.my/Restaurant_Review-g298316-d8600474-Reviews-Charcoal_Restaurant-Shah_Alam_Petaling_District_Selangor.html
Restoran Yusoof dan Zakhir,4.0,464,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1165565-Reviews-Restoran_Yusoof_dan_Zakhir-Kuala_Lumpur_Wilayah_Persekutuan.html
2OX Two Ox,4.5,187,"French, European",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d9587672-Reviews-2OX_Two_Ox-Kuala_Lumpur_Wilayah_Persekutuan.html
AQUA Restaurant & Bar,4.5,151,"American, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8401491-Reviews-AQUA_Restaurant_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html
myBurgerLab Oug,4.5,210,"American, Fast food",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7182744-Reviews-MyBurgerLab_Oug-Kuala_Lumpur_Wilayah_Persekutuan.html
Lemon Garden,4.0,840,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d815127-Reviews-Lemon_Garden-Kuala_Lumpur_Wilayah_Persekutuan.html
THE TOKYO RESTAURANT.,4.5,244,"Japanese, Fusion",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12131029-Reviews-THE_TOKYO_RESTAURANT-Kuala_Lumpur_Wilayah_Persekutuan.html
Tatsu Japanese Cuisine,4.5,171,"Japanese, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4225771-Reviews-Tatsu_Japanese_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
Nori Sushi,4.5,117,"Japanese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14912498-Reviews-Nori_Sushi-Kuala_Lumpur_Wilayah_Persekutuan.html
Via Pre Kul,4.5,113,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11799251-Reviews-Via_Pre_Kul-Kuala_Lumpur_Wilayah_Persekutuan.html
RSMY,4.0,319,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1152913-Reviews-RSMY-Kuala_Lumpur_Wilayah_Persekutuan.html
Shin Kee Beef Noodle Specialist,4.5,183,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3858922-Reviews-Shin_Kee_Beef_Noodle_Specialist-Kuala_Lumpur_Wilayah_Persekutuan.html
BBQ Nights,4.5,158,"Indian, Barbecue",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d9731839-Reviews-BBQ_Nights-Kuala_Lumpur_Wilayah_Persekutuan.html
Tao Chinese Cuisine,4.5,144,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3199956-Reviews-Tao_Chinese_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html
Bimba Cafe SS2,5.0,43,"Bar, Cafe",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d24171799-Reviews-Bimba_Cafe_SS2-Petaling_Jaya_Petaling_District_Selangor.html
Bombay Palace,4.0,542,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d969030-Reviews-Bombay_Palace-Kuala_Lumpur_Wilayah_Persekutuan.html
Jalan Alor,4.0,708,"Chinese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d19808154-Reviews-Jalan_Alor-Kuala_Lumpur_Wilayah_Persekutuan.html
Nasi Kandar Pelita,4.0,730,"Indian, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1165286-Reviews-Nasi_Kandar_Pelita-Kuala_Lumpur_Wilayah_Persekutuan.html
Old China Cafe,4.0,801,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1128562-Reviews-Old_China_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html
Bara On Six,4.0,446,"Steakhouse, Grill",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d919372-Reviews-Bara_On_Six-Kuala_Lumpur_Wilayah_Persekutuan.html
